X-coordinate,Y-coordinate,Heading,Going to ID,Current segment,Battery cell voltage
-3.391848087310791,17.645126342773438,-1.4835931062698364,0,318.0,48691
-3.388627052307129,17.613622665405273,-1.4324936866760254,0,318.0,48691
-3.3811516761779785,17.584823608398438,-1.367495059967041,0,318.0,48691
-3.3737621307373047,17.550941467285156,-1.2676740884780884,0,318.0,48691
-3.364806652069092,17.525333404541016,-1.1963714361190796,0,318.0,48691
-3.353782892227173,17.505447387695312,-1.124406337738037,0,318.0,48691
-3.3386995792388916,17.48419761657715,-1.0419217348098755,0,318.0,48691
-3.3223023414611816,17.459510803222656,-0.920394241809845,0,318.0,48763
-3.307126760482788,17.443666458129883,-0.8375228643417358,0,322.0,48691
-3.2902631759643555,17.42496681213379,-0.7609217762947083,0,322.0,48763
-3.265509605407715,17.40184783935547,-0.6366146802902222,0,322.0,48691
-3.247037172317505,17.39179039001465,-0.5617588758468628,0,322.0,48763
-3.238055467605591,17.390241622924805,-0.48237815499305725,0,322.0,48691
-3.2473323345184326,17.4001407623291,-0.4220839738845825,0,322.0,48691
-3.214829444885254,17.389625549316406,-0.3233112394809723,0,322.0,48691
-3.1747114658355713,17.364683151245117,-0.2462708204984665,0,322.0,48691
-3.113858222961426,17.345306396484375,-0.17804956436157227,0,322.0,48691
-3.0767784118652344,17.339099884033203,-0.09501850605010986,0,322.0,48691
-3.052412748336792,17.34192657470703,-0.05057331919670105,0,322.0,48691
-3.016580581665039,17.34356689453125,-0.006486732978373766,0,322.0,48691
-2.9629340171813965,17.34030532836914,0.028340516611933708,0,8.0,48691
-2.883294105529785,17.341167449951172,0.02878279611468315,0,8.0,48691
-2.821683168411255,17.3425350189209,0.011722194962203503,0,4.0,48691
-2.7689197063446045,17.347715377807617,-0.022510062903165817,0,4.0,48654
-2.692517042160034,17.343076705932617,-0.10054215043783188,0,158.0,48691
-2.6469831466674805,17.33753776550293,-0.17366747558116913,0,158.0,48641
-2.598155975341797,17.327234268188477,-0.250698983669281,0,158.0,48691
-2.5549814701080322,17.315881729125977,-0.32900673151016235,0,158.0,48689
